SHIP CODE,DEPARTURE DATE,CRUISE ID,WEEK DAY,SECTOR,CABIN CATEGORY,CABIN GROUP,CABIN BLOCKED,CABIN SOLD,CABIN AVAILABLE,PAX COUNT
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,BDS,FP,0,0,165,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,BSA,FP,0,0,4,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,BSS,FP,0,0,198,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,DDS,FP,0,0,36,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,DES,FP,0,0,1,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,DGV,FP,0,0,0,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,DSS,FP,0,0,2,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,DSS,FP,0,0,16,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,DSA,FP,0,0,4,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,DSS,FP,0,0,48,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,ISA,FP,0,0,10,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,ISS,FP,0,0,321,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,OSA,FP,0,0,0,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,OSS,FP,0,0,50,0
GDR,02/02/2018,GD02180202,Fri,SGSIN-SGSIN,BDA,FP,0,0,0,0
GDR,02/02/2018,GD02180202,Fri,SGSIN-SGSIN,BDS,FP,0,0,0,0
TPA,06/23/2018,TP01180623,Sat,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/23/2018,TP01180623,Sat,MYPEN-MYPEN,E2,FP,0,0,1,0
